date,merchant,amount,description
2024-10-01,Starbucks,6.45,Coffee purchase
2024-10-01,Amazon,32.89,Office supplies
2024-10-02,Uber Eats,24.10,Lunch delivery
2024-10-03,Comcast,89.99,Internet bill
2024-10-03,Payroll,-1800.00,Monthly salary
2024-10-04,Trader Joe's,54.23,Grocery shopping
2024-10-05,Shell,42.10,Gas refill
2024-10-06,Apple Store,129.99,Device accessories
2024-10-06,Chipotle,12.85,Lunch
2024-10-07,Water Utility,45.60,Water bill
2024-10-08,Amazon,18.75,Household goods
2024-10-09,PayPal Refund,-22.50,Refund from merchant
2024-10-10,Target,86.90,General shopping
2024-10-11,Dunkin,7.25,Coffee
2024-10-12,Electric Co,102.40,Electric utility
2024-10-13,Domino's,21.99,Pizza delivery
2024-10-14,CVS,14.32,Personal care
2024-10-15,Spotify,9.99,Streaming subscription
2024-10-16,Walmart,64.57,Groceries
2024-10-17,Payroll,-1800.00,Monthly salary
2024-10-18,McDonald's,8.49,Lunch
2024-10-19,Best Buy,249.99,Electronics
2024-10-20,City Gas,38.20,Gas service
2024-10-21,Amazon,27.99,Pet supplies
2024-10-22,DoorDash,34.18,Dinner delivery
2024-10-23,Home Depot,73.44,Hardware purchase
2024-10-24,AT&T,75.00,Phone bill
2024-10-25,Trader Joe's,48.35,Grocery shopping
2024-10-26,Walgreens,17.90,Health products
2024-10-27,Amazon,56.70,Household essentials
2024-10-28,Payroll,-1800.00,Monthly salary
2024-10-29,Panda Express,13.20,Dinner
2024-10-30,Netflix,15.49,Streaming service
2024-10-31,Whole Foods,82.14,Grocery shopping
